date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:57:48	435364/435364	---M--	200	added ('OK')	image/jpeg	etag:%22a26b655b454dd51:0%22	https://www.mudes.org.br/ImagensInstitucional/SegundoSliderArmazemSocial.jpg	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/ImagensInstitucional/SegundoSliderArmazemSocial.jpg	(from https://www.mudes.org.br/Institucional/Armazem_Social_Saber)
13:57:48	411876/411876	---M--	200	added ('OK')	image/jpeg	etag:%2258b85d5b454dd51:0%22	https://www.mudes.org.br/ImagensInstitucional/PrimeiroSliderArmazemSocial.jpg	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/ImagensInstitucional/PrimeiroSliderArmazemSocial.jpg	(from https://www.mudes.org.br/Institucional/Armazem_Social_Saber)
13:57:48	368576/368576	---M--	200	added ('OK')	image/jpeg	etag:%22d0ac765b454dd51:0%22	https://www.mudes.org.br/ImagensInstitucional/TerceiroSliderArmazemSocial.jpg	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/ImagensInstitucional/TerceiroSliderArmazemSocial.jpg	(from https://www.mudes.org.br/Institucional/Armazem_Social_Saber)
13:57:49	20290/20290	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22c786775a454dd51:0%22	https://www.mudes.org.br/fonts/glyphicons-halflings-regular.eot	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/fonts/glyphicons-halflings-regular.eot	(from https://www.mudes.org.br/Content/css?v=_kvFhrVkBFYu7yHhhP8EWx_cS9B8PG7XZazbnX4-6FQ1)
13:57:50	20290/20290	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22c786775a454dd51:0%22	https://www.mudes.org.br/fonts/glyphicons-halflings-regular.eot?	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/fonts/glyphicons-halflings-regulard41d.eot	(from https://www.mudes.org.br/Content/css?v=_kvFhrVkBFYu7yHhhP8EWx_cS9B8PG7XZazbnX4-6FQ1)
13:57:51	23292/23292	---M--	200	added ('OK')	font/x-woff	etag:%22b996815a454dd51:0%22	https://www.mudes.org.br/fonts/glyphicons-halflings-regular.woff	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/fonts/glyphicons-halflings-regular.woff	(from https://www.mudes.org.br/Content/css?v=_kvFhrVkBFYu7yHhhP8EWx_cS9B8PG7XZazbnX4-6FQ1)
13:57:51	409740/409740	---M--	200	added ('OK')	image/jpeg	etag:%22ac95e5b454dd51:0%22	https://www.mudes.org.br/ImagensInstitucional/QuartoSliderArmazemSocial.jpg	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/ImagensInstitucional/QuartoSliderArmazemSocial.jpg	(from https://www.mudes.org.br/Institucional/Armazem_Social_Saber)
13:57:52	41236/41236	---M--	200	added ('OK')	application/octet-stream	etag:%22348d7c5a454dd51:0%22	https://www.mudes.org.br/fonts/glyphicons-halflings-regular.ttf	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/fonts/glyphicons-halflings-regular.ttf	(from https://www.mudes.org.br/Content/css?v=_kvFhrVkBFYu7yHhhP8EWx_cS9B8PG7XZazbnX4-6FQ1)
13:57:52	63078/63078	---M--	200	added ('OK')	image/svg+xml	etag:%221c657c5a454dd51:0%22	https://www.mudes.org.br/fonts/glyphicons-halflings-regular.svg	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/fonts/glyphicons-halflings-regular.svg	(from https://www.mudes.org.br/Content/css?v=_kvFhrVkBFYu7yHhhP8EWx_cS9B8PG7XZazbnX4-6FQ1)
13:57:53	463548/463548	---M--	200	added ('OK')	image/jpeg	etag:%22905f565b454dd51:0%22	https://www.mudes.org.br/ImagensInstitucional/QuintoSliderArmazemSocial.jpg	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/ImagensInstitucional/QuintoSliderArmazemSocial.jpg	(from https://www.mudes.org.br/Institucional/Armazem_Social_Saber)
